ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
4.9894,-6.2502,-0.4283,3.9927,-8.2044,-3.5939,-2.2498,-0.0593,-1.2678,0.3702,-0.643,-0.5461,0,13.92,31.18,22.6,63.31,54.89,-133.37,2021-03-19 12:20:37:875
2.8862,-6.3723,-8.5934,4.5154,-8.2585,-2.7529,-5.5755,3.7181,-2.5529,0.0727,-1.5328,-0.6167,0,24.65,41.08,30.35,55.11,57.37,-121.37,2021-03-19 12:20:38:374
4.4412,-6.1281,-5.7779,4.004,-8.1642,-3.6721,0.762,-1.8227,-0.375,0.6534,-0.815,-0.2227,0,16.36,31.79,34.96,77.9,56.36,-132.52,2021-03-19 12:20:38:874
4.4843,-8.0207,-6.0724,3.8447,-8.6262,-2.6415,-2.5623,0.0175,-4.1362,0.5159,-2.2734,0.0675,0,15.64,27.05,20.74,62.06,61.6,-124.49,2021-03-19 12:20:39:374
-0.1196,-10.3777,-3.6915,3.4139,-6.7592,-6.2312,1.7032,-1.8816,-0.6608,-0.8769,-0.0306,0.1213,0,13.15,33.57,5.6,30.62,48.63,-147.26,2021-03-19 12:20:39:875
-0.5146,-5.9773,-8.7957,2.5374,-7.8927,-5.2381,-1.023,0.0015,-0.6943,1.3607,-0.5871,0.2807,0,14.63,38.17,10.96,38.31,47.47,-154.47,2021-03-19 12:20:40:375
4.4412,-6.6477,-7.0839,3.8984,-6.8677,-5.8144,1.9789,-2.9645,0.826,0.1891,-0.2496,-0.5143,0.6014,14.75,39.52,7.47,28.34,44.45,-146.16,2021-03-19 12:20:40:875
14.1133,-15.1431,-14.7821,3.4152,-7.1322,-5.7999,-4.0645,4.215,0.7422,-0.1814,1.6926,-0.5763,0,7.06,38.45,8.36,23.11,46.66,-149.51,2021-03-19 12:20:41:375
3.7182,-3.7508,-8.1828,1.6372,-5.2875,-8.0952,1.0776,0.0248,1.7064,-0.9001,-1.0364,0.1729,0,3.28,38.9,7.52,12.85,39.61,-156.27,2021-03-19 12:20:41:877
4.0174,-7.4246,-5.8222,3.6623,-4.6066,-7.8446,-1.1284,-0.5144,1.7629,-0.2189,-0.2334,0.5535,0,-0.03,31.74,19.84,26.49,30.96,-152.89,2021-03-19 12:20:42:375
4.4747,-4.0716,-6.3202,3.5367,-5.7055,-7.149,-0.4804,-3.1309,-0.2235,0.7917,0.5625,-0.7605,0,-4.12,35.39,14.24,7.42,35.58,-153.68,2021-03-19 12:20:42:875
4.3358,-6.5268,-6.2651,3.9158,-7.5396,-4.898,1.0605,-0.8865,-1.4235,-0.9685,0.4281,-0.5037,0,16.61,37.73,6.2,30.54,50.25,-141.36,2021-03-19 12:20:43:375
0.1976,-5.7642,-8.0284,3.8204,-7.4252,-5.1421,2.7757,-1.4027,-0.0587,0.4035,0.4086,0.1429,0,15.43,31.95,9.3,38.24,48.4,-145.09,2021-03-19 12:20:43:874
-4.5439,-4.5564,-5.742,3.9164,-6.5743,-6.1328,9.1929,-0.8441,-4.6841,-0.4337,-0.8672,0.8332,0,9.63,35.52,11.72,32.31,42.1,-147.44,2021-03-19 12:20:44:375
9.5023,-0.8803,-10.796,3.1379,-6.8786,-6.2457,1.3487,0.1305,3.2127,-0.8433,-0.6256,-0.3161,0,12.18,37.26,14.4,38.51,44.54,-153.32,2021-03-19 12:20:44:877
-5.3663,-0.6528,-6.477,3.6469,-6.789,-6.0647,-2.5965,2.1322,1.0653,0.6864,0.4498,-0.0925,0,15.68,32.31,15.53,48.67,43.81,-148.98,2021-03-19 12:20:45:375
8.4848,-16.3833,-4.7221,4.1067,-5.8853,-6.6835,3.1765,-4.3739,4.1695,0.1286,0.4241,0.7498,0,12.47,34.26,12.74,35,36.88,-148.43,2021-03-19 12:20:45:877
-1.6159,-4.9646,-6.4004,3.6485,-6.9975,-5.8218,2.7452,0.8865,-4.1098,-0.2758,-0.6183,-0.0968,0,8.32,36.63,9.43,26.18,45.52,-147.92,2021-03-19 12:20:46:375
21.6105,-11.8093,-18.8294,4.09,-6.9461,-5.5852,-0.3477,-1.068,2.5261,0.3687,-0.6589,0.7355,0,6.81,37.93,0.8,12.07,45.1,-143.78,2021-03-19 12:20:46:874
-5.1807,2.6845,-3.3611,3.6251,-6.4911,-6.3949,-2.719,3.6465,-0.9457,0.1069,0.8273,1.2651,0,6.53,37.92,4.92,17.05,41.45,-150.45,2021-03-19 12:20:47:375
-2.3581,-7.7035,-12.3198,4.4504,-6.7008,-5.6093,-3.534,3.6612,-5.5341,0.1827,1.7338,-1.054,0,8.74,34.22,12.87,32.09,38.99,-159.13,2021-03-19 12:20:47:876
11.4667,-8.5426,-3.95,3.2802,-6.8369,-6.2183,-1.2247,-2.3599,-1.0122,0.2383,0.619,0.0987,0,5.3,35.88,4.31,14.23,44.56,-150.95,2021-03-19 12:20:48:375
18.7782,-13.4002,-12.1067,3.1141,-6.7376,-6.4092,3.9641,0.9271,-4.1403,-0.2241,0.1587,-0.8784,0,2.26,37.21,2.69,6.92,43.4,-154.09,2021-03-19 12:20:48:875
